,equity,delta
2018-06-25,-23167.5,0.0
2018-06-26,-23167.5,0.0
2018-06-27,-23167.5,0.0
2018-06-28,-23167.5,0.0
2018-06-29,-23167.5,0.0
2018-07-02,-23170.5,-1.0
2018-07-03,-22733.0,-1.0
2018-07-05,-23908.0,-1.0
2018-07-06,-25033.0,-1.0
2018-07-09,-26348.5,0.0
2018-07-10,-26348.5,0.0
2018-07-11,-26348.5,0.0
2018-07-12,-26348.5,0.0
2018-07-13,-26348.5,0.0
2018-07-16,-26348.5,0.0
2018-07-17,-26348.5,0.0
2018-07-18,-26348.5,0.0
2018-07-19,-26348.5,0.0
2018-07-20,-26348.5,0.0
2018-07-23,-26348.5,0.0
2018-07-24,-26348.5,0.0
2018-07-25,-26348.5,0.0
2018-07-26,-26348.5,0.0
2018-07-27,-26348.5,0.0
2018-07-30,-26348.5,0.0
2018-07-31,-26348.5,0.0
2018-08-01,-26348.5,0.0
2018-08-02,-26348.5,0.0
2018-08-03,-26348.5,0.0
2018-08-06,-26348.5,0.0
2018-08-07,-26348.5,0.0
2018-08-08,-26348.5,0.0
2018-08-09,-26348.5,0.0
2018-08-10,-26348.5,0.0
2018-08-13,-26348.5,0.0
2018-08-14,-26348.5,0.0
2018-08-15,-26348.5,0.0
2018-08-16,-26348.5,0.0
2018-08-17,-26348.5,0.0
2018-08-20,-26348.5,0.0
2018-08-21,-26348.5,0.0
2018-08-22,-26348.5,0.0
2018-08-23,-26348.5,0.0
2018-08-24,-26348.5,0.0
